RACHEL MARGUERITE B. DEL MAR, Cebu City north district


2010 RELEASES													PLACE				DATE			AMOUNT
Financial assistance, CIDSS												DSWD-RO 7		11/9/2010			P10,000,000
Financial assistance, CIDSS												DSWD-RO 7		10/14/2010			P5,000,000

      GRAND TOTAL		 	 	 	15,000,000


2011 RELEASES
															PLACE				DATE			AMOUNT
Construction/Rehabilitation of Communal Irrigation Systems (DWPH-Cebu City)				Barangay Sirao		12/12/2011		500,000
Construction/Rehabilitation of Communal Irrigation Systems (DWPH-Cebu City)				Barangay Lusaran    		12/12/2011		750,000
Construction of Water Supply (DWPH-Cebu City)									Barangay Sirao		12/12/2011		500,000
Construction/Rehabilitation of Communal Irrigation Systems (DWPH-Cebu City)			Sitio Banica, Barangay Lahug	,12/12/2011		250,000
Construction of Spillway (DWPH-Cebu City)									Barangay Sirao		12/12/2011		500,000
Construction/Rehabilitation of Communal Irrigation Systems (DWPH-Cebu City)				Barangay Pitos		12/12/2011		500,000
Riprapping (DWPH-Cebu City)											Barangay Pulangbato 	12/12/2011		500,000
Construction of Multi-Purpose Building (DWPH-Cebu City)							Barangay Paril 		12/12/2011		500,000
Concreting of Barangay Roads (DWPH-Cebu City)								Barangay Binaliw		12/12/2011		500,000
Concreting of Barangay Roads (DWPH-Cebu City)								Barangay Agsungot		12/12/2011		500,000
Concreting of Barangay Roads (DWPH-Cebu City)								Barangay Cambinocot	12/12/2011		500,000
Concreting of Barangay Roads (DWPH-Cebu City)								Barangay Mabini		12/12/2011		500,000
Concreting of Barangay Roads (DWPH-Cebu City)								Barangay Lusaran		12/12/2011		500,000
Concreting of Barangay Roads (DWPH-Cebu City)								Barangay Sirao		12/12/2011		500,000
Construction of Flood Controls and Drainages (DWPH-Cebu City)						Barangay Apas		12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Bacayan		12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Camputhaw	12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Capitol Site	12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Lorega		12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Pahina Central	12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay San Antonio	12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Sta. Cruz		12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Sambag 1		12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Talamban		12/12/2011		500,000
Construction of Flood Controls and Drainages  (DWPH-Cebu City)						Barangay Luz			12/12/2011		500,000


Repair/Improvement of Multi-Purpose Buildings (DWPH-Cebu City)						Barangay Adlaon		12/12/2011		500,000
Repair/Improvement of Multi-Purpose Buildings (DWPH-Cebu City)						Barangay Kalubihan		12/12/2011		500,000
Repair/Improvement of Multi-Purpose Buildings (DWPH-Cebu City)						Barangay Malubog		12/12/2011		500,000
